subject_id,annotations
38185892,"[[{'text': 'B11283'}], [{'text': 'B11421'}], [{'text': 'B11078'}], [{'text': 'B8398'}], [{'text': 'B9027'}], [{'text': 'B3715'}], [{'text': 'B5952'}]]"
38185893,"[[{'text': 'B11283'}], [{'text': 'B11421'}], [{'text': 'B11078'}], [{'text': 'B8398'}], [{'text': 'B9207'}], [{'text': 'B3715'}], [{'text': 'B5952'}], [{'text': 'B13532'}], [{'text': 'B5649'}], [{'text': 'B13867'}], [{'text': 'B3728'}]]"
38185894,"[[{'text': 'B5163'}], [{'text': 'B6013'}], [{'text': 'B6613'}], [{'text': 'B6743'}], [{'text': 'B11076'}], [{'text': 'B11035'}], [{'text': 'B11118'}]]"
38185895,"[[{'text': 'B5163'}], [{'text': 'B6103'}], [{'text': 'B6613'}], [{'text': 'B6743'}], [{'text': 'B11076'}], [{'text': 'B11035'}], [{'text': 'B11118'}]]"
38185896,[[{'text': 'X4682'}]]
38185897,
38185898,"[[{'text': '*34565'}], [{'text': '*34575'}], [{'text': '*32597'}], [{'text': '*32558'}], [{'text': '*32566'}], [{'text': '*32729'}], [{'text': '*32757'}], [{'text': '*32756'}], [{'text': '*32554'}]]"
38185900,"[[{'text': '34565'}], [{'text': '*34575'}], [{'text': '*32597'}], [{'text': '*32558'}], [{'text': '*32566'}], [{'text': '*32729'}], [{'text': '*32757'}], [{'text': '*32756'}], [{'text': '*32554'}]]"
38185901,
38185903,[[{'text': '*1035'}]]
38185905,[[{'text': 'X4682'}]]
38185906,[[{'text': 'X4682'}]]
38185907,[[{'text': '*2962'}]]
38185908,[[{'text': '*332'}]]
38185909,[[{'text': '*1042'}]]
38185910,[[{'text': '*928'}]]
38185912,
38185913,[[{'text': 'B19949'}]]
38185914,[[{'text': 'B19949'}]]
38185917,"[[{'text': 'B17452'}], [{'text': 'B13571'}], [{'text': 'B13503'}], [{'text': 'B13570'}], [{'text': 'B5311'}], [{'text': 'B17452'}], [{'text': 'BB13571'}], [{'text': '*13576'}], [{'text': 'B19172'}]]"
38185918,"[[{'text': 'I33459'}], [{'text': 'I33486'}], [{'text': 'I33542'}], [{'text': 'I28853'}], [{'text': 'I35424'}]]"
38185919,"[[{'text': 'I33459'}], [{'text': 'I33486'}], [{'text': '33542'}], [{'text': 'I28853'}]]"
38185920,
38185921,[[{'text': '*16169'}]]
38185922,
38185924,
38185925,[[{'text': '*844'}]]
38185926,[[{'text': '*844'}]]
38185927,[[{'text': 'A7585'}]]
38185930,[[{'text': 'A7585'}]]
38185931,[[{'text': '*24'}]]
38185932,[[{'text': '169'}]]
38185934,
38185935,"[[{'text': 'B5734'}], [{'text': 'B6737'}]]"
38185936,
38185937,[[{'text': '*8068'}]]
38185938,[[{'text': '*1855'}]]
38185939,"[[{'text': 'I33776'}], [{'text': 'I2434'}], [{'text': 'I9660'}], [{'text': 'I2873'}], [{'text': 'I19582'}], [{'text': 'I33548'}], [{'text': 'I33699'}], [{'text': 'I36318'}], [{'text': 'I33777'}], [{'text': 'I33699'}], [{'text': 'I33776'}]]"
38185940,[[{'text': '*2868'}]]
38185941,
38185942,[[{'text': '*1074'}]]
38185943,[[{'text': '*1074'}]]
38185944,
38185945,[[{'text': '*5676'}]]
38185946,[[{'text': '*5676'}]]
38185948,[[{'text': '*1266'}]]
38185949,[[{'text': 'I6655'}]]
38185950,[[{'text': '*2307'}]]
38185951,[[{'text': '*2307'}]]
38185953,
38185954,[[{'text': '*2088'}]]
38185955,[[{'text': '*2088'}]]
38185957,"[[{'text': '*631'}], [{'text': '*625'}]]"
38185958,"[[{'text': '*5676'}], [{'text': '*5677'}]]"
38185959,"[[{'text': '*5676'}], [{'text': '*5677'}]]"
38185960,[[{'text': '*337'}]]
38185961,[[{'text': 'KG11365'}]]
38185962,"[[{'text': 'B1971'}], [{'text': 'B1947'}]]"
38185964,"[[{'text': 'B1971'}], [{'text': 'I907'}], [{'text': 'B1947'}]]"
38185966,
38185967,"[[{'text': '*1453'}], [{'text': '*1447'}]]"
38185968,"[[{'text': '*1453'}], [{'text': '*1447'}]]"
38185970,[[{'text': '*927'}]]
38185971,[[{'text': '*1056'}]]
38185972,[[{'text': '*1056'}]]
38185973,
38185974,[[{'text': '14'}]]
38185975,
38185977,[[{'text': '*426'}]]
38185979,[[{'text': '*426'}]]
38185980,"[[{'text': 'B11182'}], [{'text': 'B24701'}], [{'text': 'i282'}], [{'text': 'B10967'}], [{'text': 'B20936'}], [{'text': 'B22905'}], [{'text': 'B18114'}], [{'text': 'B15266'}], [{'text': 'B22865'}]]"
38185981,"[[{'text': 'B11182'}], [{'text': 'B24701'}], [{'text': 'I282'}], [{'text': 'B10967'}], [{'text': 'B20936'}], [{'text': 'B22905'}], [{'text': 'B18114'}], [{'text': 'B15266'}], [{'text': 'B22865'}]]"
38185983,"[[{'text': 'B8400'}], [{'text': 'B4888'}], [{'text': 'B9375'}], [{'text': 'B9356'}], [{'text': 'B9298'}]]"
38185984,"[[{'text': 'I4072'}], [{'text': 'I4314'}], [{'text': 'I4317'}], [{'text': 'I4430'}], [{'text': 'I4373'}]]"
38185985,"[[{'text': 'I4072'}], [{'text': 'I4314'}], [{'text': 'I4317'}], [{'text': 'I4430'}], [{'text': 'I4373'}]]"
38185986,
38185987,"[[{'text': '*975'}], [{'text': '*883'}], [{'text': '*890'}], [{'text': '*897'}]]"
38185988,"[[{'text': '*975'}], [{'text': '*883'}], [{'text': '*890'}], [{'text': '*897'}]]"
38185989,
38185991,
38185992,[[{'text': '*277'}]]
38185993,"[[{'text': 'I1910'}], [{'text': 'I1912'}]]"
38185994,"[[{'text': 'B16685'}], [{'text': 'B19571'}], [{'text': 'B19585'}], [{'text': 'B19727'}], [{'text': 'B21703'}]]"
38185995,
38185996,"[[{'text': 'I13331'}], [{'text': 'I13608'}], [{'text': 'I13630'}], [{'text': 'I13636'}], [{'text': 'I13637'}], [{'text': 'I13791'}], [{'text': 'G7612'}]]"
38185997,
38185998,"[[{'text': '*30509'}], [{'text': '*30956'}], [{'text': '*30957'}], [{'text': '*31200'}], [{'text': '*30468'}], [{'text': '*30875'}], [{'text': '*30557'}], [{'text': '30604'}], [{'text': '*30779'}], [{'text': '*30727'}], [{'text': '*31015'}], [{'text': '*31259'}], [{'text': '*31074'}], [{'text': '*31086'}], [{'text': '*31204'}], [{'text': '*31354'}], [{'text': '*30213'}], [{'text': '*30303'}], [{'text': '*30628'}], [{'text': '*30733'}], [{'text': '*31098'}]]"
38185999,"[[{'text': '*1335'}], [{'text': '*1336'}], [{'text': '*1337'}], [{'text': '*1338'}], [{'text': '*1339'}], [{'text': '*1340'}], [{'text': '*1394'}], [{'text': '*1408'}], [{'text': '*1410'}], [{'text': '*1411'}], [{'text': '*1418'}], [{'text': '*1419'}], [{'text': '*1420'}]]"
38186000,
38186002,
38186003,"[[{'text': '*1157'}], [{'text': '*1121'}], [{'text': '*1230'}]]"
38186004,"[[{'text': '*1157'}], [{'text': '*1121'}], [{'text': '*1230'}]]"
38186005,[[{'text': 'B21372'}]]
38186006,"[[{'text': '*42004'}], [{'text': '*42005'}], [{'text': '*42007'}], [{'text': '*42010'}], [{'text': '*42055'}], [{'text': '*42081'}], [{'text': '*42083'}], [{'text': '*42084'}], [{'text': '*42085'}], [{'text': '*42086'}], [{'text': '*42087'}], [{'text': '*42088'}], [{'text': '*42089'}], [{'text': '*42090'}]]"
38186008,"[[{'text': '*1947'}], [{'text': '*1954'}], [{'text': '*1955'}], [{'text': '*1957'}], [{'text': '*1966'}], [{'text': '*1959'}], [{'text': '*1970'}], [{'text': '*1981'}], [{'text': '*1983'}], [{'text': '*1976'}], [{'text': '*1977'}], [{'text': '*1978'}], [{'text': '*1990'}], [{'text': '*1991'}], [{'text': '*1999'}], [{'text': '*2000'}], [{'text': '*1982'}], [{'text': '*1993'}], [{'text': '*1996'}]]"
38186009,
38186010,
38186011,"[[{'text': '*3381'}], [{'text': '*5404'}], [{'text': '*3714'}], [{'text': '*4047'}], [{'text': '*3744'}], [{'text': '*3923'}], [{'text': '*4097'}], [{'text': '*4131'}], [{'text': '*4233'}], [{'text': '*4072'}], [{'text': '*3734'}], [{'text': '*4084'}]]"
38186012,
